@relation ram_price

@attribute row_id numeric
@attribute date numeric
@attribute price numeric

@data
0,1957,411041792
1,1959,67947725
2,1960,5242880
3,1965,2642412
4,1970,734003
5,1973,399360
6,1974,314573
7,1975,421888
8,1975.08,180224
9,1975.25,67584
10,1975.75,49920
11,1976,40704
12,1976.17,48960
13,1976.42,23040
14,1976.58,32000
15,1977.08,36800
16,1978.17,28000
17,1978.25,29440
18,1978.33,19200
19,1978.5,24000
20,1978.58,16000
21,1978.75,15200
22,1979,10528
23,1979.75,6704
24,1980,6480
25,1981,8800
26,1981.58,4479
27,1982,3520
28,1982.17,4464
29,1982.67,1980
30,1983,2396
31,1983.67,1980
32,1984,1379
33,1984.58,1331
34,1985,880
35,1985.33,720
36,1985.42,550
37,1985.5,420
38,1985.58,350
39,1985.67,300
40,1985.83,300
41,1985.92,300
42,1986,300
43,1986.08,300
44,1986.17,300
45,1986.25,300
46,1986.33,190
47,1986.42,190
48,1986.5,190
49,1986.58,190
50,1986.67,190
51,1986.75,190
52,1986.92,190
53,1987,176
54,1987.08,176
55,1987.17,157
56,1987.25,154
57,1987.33,154
58,1987.42,154
59,1987.5,154
60,1987.58,154
61,1987.67,163
62,1987.75,133
63,1987.83,163
64,1987.92,163
65,1988,163
66,1988.08,182
67,1988.17,199
68,1988.33,199
69,1988.42,199
70,1988.5,505
71,1988.58,505
72,1988.67,505
73,1988.75,505
74,1988.83,505
75,1988.92,505
76,1989,505
77,1989.08,505
78,1989.17,505
79,1989.25,505
80,1989.42,344
81,1989.5,197
82,1989.58,188
83,1989.67,188
84,1989.75,128
85,1989.83,117
86,1989.92,113
87,1990,106
88,1990.17,98.3
89,1990.33,98.3
90,1990.42,89.5
91,1990.5,82.8
92,1990.58,81.1
93,1990.67,71.5
94,1990.75,59
95,1990.83,51
96,1990.92,45.5
97,1991,44.5
98,1991.08,44.5
99,1991.17,45
100,1991.25,45
101,1991.33,45
102,1991.42,43.8
103,1991.5,43.8
104,1991.58,41.3
105,1991.67,46.3
106,1991.75,45
107,1991.83,39.8
108,1991.92,39.8
109,1992,36.3
110,1992.08,36.3
111,1992.17,36.3
112,1992.25,34.8
113,1992.33,30
114,1992.42,32.5
115,1992.5,33.5
116,1992.58,31
117,1992.67,27.5
118,1992.75,26.3
119,1992.83,26.3
120,1992.92,26.3
121,1993,33.1
122,1993.08,27.5
123,1993.17,27.5
124,1993.25,27.5
125,1993.33,27.5
126,1993.42,30
127,1993.5,30
128,1993.58,30
129,1993.67,30
130,1993.75,36
131,1993.83,39.8
132,1993.92,35.8
133,1994,35.8
134,1994.08,35.8
135,1994.17,36
136,1994.25,37.3
137,1994.33,37.3
138,1994.42,37.3
